waveHeight	wavePeriod	value
16	8	5.48101017629802
16.5	8	6.12208805613107
0.5	8.5	0
1	8.5	0
1.5	8.5	0
2	8.5	0
2.5	8.5	0
3	8.5	0
3.5	8.5	0
4	8.5	1.15236168165705E-03
4.5	8.5	1.9097135471573E-03
5	8.5	3.16481005074022E-03
5.5	8.5	5.24477750716886E-03
6	8.5	8.69173525699297E-03
6.5	8.5	1.44040927712174E-02
7	8.5	2.38707096370555E-02
7.5	8.5	3.95589495032428E-02
8	8.5	6.55577697351252E-02
8.5	8.5	0.108643460623022
9	8.5	0.18004580668067
9.5	8.5	0.298374999446804
10	8.5	0.494472167589995
10.5	8.5	0.819447758607337
11	8.5	1.03290292916827
11.5	8.5	1.28086184022491
12	8.5	1.56495520778781
12.5	8.5	1.88641575364472
13	8.5	2.24607479677033
13.5	8.5	2.64437061567765
14	8.5	3.08136637066262
14.5	8.5	3.55677537574231
15	8.5	4.06999163987948
15.5	8.5	4.62012380935959
16	8.5	5.20603090009993
16.5	8.5	5.82635848131803
0.5	9	0
1	9	0
1.5	9	0
2	9	0
2.5	9	0
3	9	0
3.5	9	0
4	9	0
4.5	9	0.002167867370306
5	9	3.46109011011002E-03
5.5	9	5.5257738154943E-03
6	9	8.82212692781694E-03
6.5	9	1.40848912983512E-02
7	9	2.24871127461165E-02
7.5	9	3.59016075413908E-02
8	9	0.057318404483859
8.5	9	9.15112084824488E-02
9	9	0.146101437284013
9.5	9	0.233257000212693
10	9	0.372404468838021
10.5	9	0.594559169860154
11	9	0.949238357874142
11.5	9	1.18180039169677
12	9	1.44927502547749
12.5	9	1.75301262438806
13	9	2.09397636344612
13.5	9	2.47274601520544
14	9	2.88953163412124
14.5	9	3.34419504619789
15	9	3.83627712994117
15.5	9	4.36502904479855
16	9	4.9294457882315
16.5	9	5.52830071249588
0.5	9.5	0
1	9.5	0
1.5	9.5	0
2	9.5	0
2.5	9.5	0
3	9.5	0
3.5	9.5	0
4	9.5	0
4.5	9.5	1.76444805856298E-03
5	9.5	2.84239688783784E-03
5.5	9.5	4.5788936822375E-03
6	9.5	7.3762631260067E-03
6.5	9.5	1.18826208861654E-02
7	9.5	1.91420339421615E-02
7.5	9.5	3.08364179041907E-02
8	9.5	4.96752159167116E-02
8.5	9.5	8.00231428967815E-02
9	9.5	0.128911435630507
9.5	9.5	0.207666902782778
10	9.5	0.334536205422464
10.5	9.5	0.538913381182964
11	9.5	0.868150076764614
11.5	9.5	1.0853963653658
12	9.5	1.33626910549607
12.5	9.5	1.62223040614257
13	9.5	1.94437127374793
13.5	9.5	2.30341078094617
14	9.5	2.69970539819784
14.5	9.5	3.13326653608246
15	9.5	3.60378436910362
15.5	9.5	4.1106561371967
16	9.5	4.65301731112841
16.5	9.5	5.22977423222306
0.5	10	0
1	10	0
1.5	10	0
2	10	0
2.5	10	0
3	10	0
3.5	10	0
4	10	0
4.5	10	1.42020594815648E-03
5	10	2.26732849341501E-03
5.5	10	3.61974156193659E-03
6	10	5.77884016950555E-03
6.5	10	9.22579502798104E-03
7	10	1.47287849121465E-02
7.5	10	2.35141908453769E-02
8	10	3.75399039642996E-02
8.5	10	5.99316556931794E-02
9	10	9.56796095573821E-02
9.5	10	0.152750455150448
10	10	0.243862842423866
10.5	10	0.38932182464841
11	10	0.621543986123625
11.5	10	0.99228171201376
12	10	1.22667995796443
12.5	10	1.49492668897782
13	10	1.79823513039877
13.5	10	2.13745990150236
14	10	2.51310192609825
14.5	10	2.92532189786341
15	10	3.37396047507226
15.5	10	3.85856345769103
16	10	4.37841035210749
16.5	10	4.9325449244541
0.5	10.5	0
1	10.5	0
1.5	10.5	0
2	10.5	0
2.5	10.5	0
3	10.5	0
3.5	10.5	0
4	10.5	0
4.5	10.5	1.19239860233502E-03
5	10.5	1.91462210464885E-03
5.5	10.5	0.003074288913482
6	10.5	4.93635391579881E-03
6.5	10.5	7.92625243358247E-03
7	10.5	1.27271015637268E-02
7.5	10.5	2.04357753642987E-02
8	10.5	3.28135131670772E-02
8.5	10.5	5.26883187533461E-02
9	10.5	0.084601088549077
9.5	10.5	0.135843092986037
10	10.5	0.218121849594268
10.5	10.5	0.35023599819915
11	10.5	0.562370320363258
11.5	10.5	0.902992207687463
12	10.5	1.12114771026083
12.5	10.5	1.3718515493427
13	10.5	1.65643203115334
13.5	10.5	1.97587403227851
14	10.5	2.33081947241457
14.5	10.5	2.72157661417559
15	10.5	3.14813648751688
15.5	10.5	3.61019476601112
16	10.5	4.10717753447651
16.5	10.5	4.63826955190734
0.5	11	0
1	11	0
1.5	11	0
2	11	0
2.5	11	0
3	11	0
3.5	11	0
4	11	0
4.5	11	1.03583840327152E-03
5	11	1.66821588067848E-03
5.5	11	2.68665866775978E-03
6	11	4.32685893993115E-03
6.5	11	6.96839852070706E-03
7	11	1.12225932524079E-02
7.5	11	1.80739661967859E-02
8	11	2.91080899695326E-02
8.5	11	4.68785264091662E-02
9	11	0.07549778225212
9.5	11	0.121589042181881
10	11	0.195818933188492
10.5	11	0.315366038805701
11	11	0.507896436838743
11.5	11	0.817966295706373
12	11	1.02020775773993
12.5	11	1.2536439387889
13	11	1.51970965593483
13.5	11	1.81951327074543
14	11	2.15383276275327
14.5	11	2.52312082116747
15	11	2.92751739388759
15.5	11	3.36686811312102
16	11	3.84074708728342
16.5	11	4.34848267969598
0.5	11.5	0
1	11.5	0
1.5	11.5	0
2	11.5	0
2.5	11.5	0
3	11.5	0
3.5	11.5	0
4	11.5	0
4.5	11.5	0
5	11.5	1.95811034401757E-03
5.5	11.5	3.03973079861365E-03
6	11.5	4.71881646316328E-03
6.5	11.5	7.32539500641845E-03
7	11.5	1.13717946902491E-02
7.5	11.5	1.76533435212533E-02
8	11.5	2.74046925721051E-02
8.5	11.5	4.25424891362606E-02
9	11.5	6.60420976132784E-02
9.5	11.5	0.102522413373416
10	11.5	0.159153715944304
10.5	11.5	0.247067001891784
11	11.5	0.383541804610811
11.5	11.5	0.595402521412186
12	11.5	0.92429080283364
12.5	11.5	1.14083058788188
13	11.5	1.38869696496252
13.5	11.5	1.6691136078541
14	11.5	1.98298818533306
14.5	11.5	2.33091325232136
15	11.5	2.71317485941322
15.5	11.5	3.12976740978149
16	11.5	3.58041331972278
16.5	11.5	4.0645861343342
0.5	12	0
1	12	0
1.5	12	0
2	12	0
2.5	12	0
3	12	0
3.5	12	0
4	12	0
4.5	12	0
5	12	1.70374341487232E-03
5.5	12	2.65167204313301E-03
6	12	4.12700912763915E-03
6.5	12	6.42319414413441E-03
7	12	9.99693040098601E-03
7.5	12	1.55590217576439E-02
8	12	2.42157490694303E-02
8.5	12	3.76889056476527E-02
9	12	5.86582560318494E-02
9.5	12	9.12945319470241E-02
10	12	0.142088976509986
10.5	12	0.221144430176505
11	12	0.344184750987027
11.5	12	0.535682235891951
12	12	0.833725076509899
12.5	12	1.03382724493708
13	12	1.26390435527305
13.5	12	1.52528593185886
14	12	1.8190015998734
14.5	12	2.14577783658477
15	12	2.50604262248765
15.5	12	2.89993664799667
16	12	3.32732971497834
16.5	12	3.78784103055013
0.5	12.5	0
1	12.5	0
1.5	12.5	0
2	12.5	0
2.5	12.5	0
3	12.5	0
3.5	12.5	0
4	12.5	0
4.5	12.5	0
5	12.5	1.47405963125236E-03
5.5	12.5	2.26605802425689E-03
6	12.5	0.003483589714031
6.5	12.5	5.35528974359876E-03
7	12.5	8.23263661687309E-03
7.5	12.5	1.26559549362373E-02
8	12.5	1.94558806372904E-02
8.5	12.5	2.99093425410877E-02
9	12.5	0.045979351329157
9.5	12.5	7.06836248822864E-02
10	12.5	0.108661272551088
10.5	12.5	0.167043953561879
11	12.5	0.256795100650638
11.5	12.5	0.394768695975238
12	12.5	0.606874207985801
12.5	12.5	0.932942019145042
13	12.5	1.14572606951761
13.5	12.5	1.38851740484673
14	12.5	1.66245861163497
14.5	12.5	1.96840282655794
15	12.5	2.30691445868918
15.5	12.5	2.67827670513619
16	12.5	3.08250459844441
16.5	12.5	3.5193623442818
0.5	13	0
1	13	0
1.5	13	0
2	13	0
2.5	13	0
3	13	0
3.5	13	0
4	13	0
4.5	13	0
5	13	1.26648924481744E-03
5.5	13	1.95279873733497E-03
6	13	3.01101878609852E-03
6.5	13	4.64268741929397E-03
7	13	7.15855595879541E-03
7.5	13	1.10377716152595E-02
8	13	1.70191310834049E-02
8.5	13	2.62417843864138E-02
9	13	4.04621860192678E-02
9.5	13	6.23886117403455E-02
10	13	9.61969497405324E-02
10.5	13	0.148325998627699
11	13	0.228703736742644
11.5	13	0.352638105820789
12	13	0.543732408783538
12.5	13	0.838380559223499
13	13	1.03444460809847
13.5	13	1.25917498598745
14	13	1.51381710964352
14.5	13	1.79934228197144
15	13	2.11644456528062
15.5	13	2.46554460894965
16	13	2.8467992841299
16.5	13	3.26011596004659
0.5	13.5	0
1	13.5	0
1.5	13.5	0
2	13.5	0
2.5	13.5	0
3	13.5	0
3.5	13.5	0
4	13.5	0
4.5	13.5	0
5	13.5	1.07943674180429E-03
5.5	13.5	1.6496696858547E-03
6	13.5	2.52113900429133E-03
6.5	13.5	3.85297852864764E-03
7	13.5	5.88838755695372E-03
7.5	13.5	8.9990400317796E-03
8	13.5	1.37529537093627E-02
8.5	13.5	2.10182125053254E-02
9	13.5	3.21214821379258E-02
9.5	13.5	4.90902646681141E-02
10	13.5	7.50231285977984E-02
10.5	13.5	0.114655520043625
11	13.5	0.175224474401082
11.5	13.5	0.267790128355383
12	13.5	0.409255345691309
12.5	13.5	0.625452248764888
13	13.5	0.95585926880017
13.5	13.5	1.1538013167665
14	13.5	1.37684341766099
14.5	13.5	1.63901969172676
15	13.5	1.93515017423531
15.5	13.5	2.26235509677526
16	13.5	2.62092855767811
16.5	13.5	3.01091807562008
0.5	14	0
1	14	0
1.5	14	0
2	14	0
2.5	14	0
3	14	0
3.5	14	0
4	14	0
4.5	14	0
5	14	0
5.5	14	1.94450487928209E-03
6	14	2.92658174578978E-03
6.5	14	4.40465889597157E-03
7	14	6.62924246615425E-03
7.5	14	9.97735731937291E-03
8	14	1.50164456326174E-02
8.5	14	2.26005376192669E-02
9	14	3.40149935062141E-02
9.5	14	5.11943477946926E-02
10	14	7.70501762890285E-02
10.5	14	0.115964553156898
11	14	0.174532729664811
11.5	14	0.262680904595354
12	14	0.3953485273023
12.5	14	0.595020251970238
13	14	0.895536661463278
13.5	14	1.08349541312115
14	14	1.29572406858341
14.5	14	1.53303978932266
15	14	1.79606261356956
15.5	14	2.08521759449735
16	14	2.40546331565692
16.5	14	2.77243680748255
0.5	14.5	0
1	14.5	0
1.5	14.5	0
2	14.5	0
2.5	14.5	0
3	14.5	0
3.5	14.5	0
4	14.5	0
4.5	14.5	0
5	14.5	0
5.5	14.5	1.64955272789064E-03
6	14.5	2.4989839876736E-03
6.5	14.5	3.78582682751506E-03
7	14.5	5.73532477143858E-03
7.5	14.5	8.68870968814701E-03
8	14.5	1.31629295730299E-02
8.5	14.5	1.99411329372538E-02
9	14.5	3.02097478084202E-02
9.5	14.5	4.57661490708677E-02
10	14.5	6.93332633578983E-02
10.5	14.5	0.105036178604671
11	14.5	0.15912418198062
11.5	14.5	0.241064608664993
12	14.5	0.365199964125401
12.5	14.5	0.553258375569097
13	14.5	0.838156791363349
13.5	14.5	1.01662219030298
14	14.5	1.21857510700217
14.5	14.5	1.44485946830555
15	14.5	1.69612836190041
15.5	14.5	1.97284524880996
16	14.5	2.27528889120284
16.5	14.5	2.60356129300545
0.5	15	0
1	15	0
1.5	15	0
2	15	0
2.5	15	0
3	15	0
3.5	15	0
4	15	0
4.5	15	0
5	15	0
5.5	15	1.34133543341496E-03
6	15	2.02184966162684E-03
6.5	15	3.04761654123538E-03
7	15	4.59379683795982E-03
7.5	15	6.92441752527545E-03
8	15	1.04374572397582E-02
8.5	15	1.57328054286337E-02
9	15	0.023714699947454
9.5	15	3.57461354333048E-02
10	15	5.38816093497887E-02
10.5	15	0.081217949602974
11	15	0.122423131330191
11.5	15	0.184533384035842
12	15	0.278154703720779
12.5	15	0.419273941169188
13	15	0.631988729264876
13.5	15	0.952622413890162
14	15	1.144737720776
14.5	15	1.36047043563689
15	15	1.60050650221592
15.5	15	1.86534688537123
16	15	2.15531160936777
16.5	15	2.4705468757222
0.5	15.5	0
1	15.5	0
1.5	15.5	0
2	15.5	0
2.5	15.5	0
3	15.5	0
3.5	15.5	0
4	15.5	0
4.5	15.5	0
5	15.5	0
5.5	15.5	1.05998964083379E-03
6	15.5	1.61469226987113E-03
6.5	15.5	2.45967604393825E-03
7	15.5	3.74684783844699E-03
7.5	15.5	5.70760883697387E-03
8	15.5	8.69445465642523E-03
8.5	15.5	0.013244345212121
9	15.5	2.01752366341001E-02
9.5	15.5	3.07331292504682E-02
10	15.5	4.68160671746249E-02
10.5	15.5	0.071315359000275
11	15.5	0.108635362521326
11.5	15.5	0.165485277723896
12	15.5	0.252085292558204
12.5	15.5	0.38400391622861
13	15.5	0.58495680641449
13.5	15.5	0.891070249312073
14	15.5	1.07369696511021
14.5	15.5	1.27926143231246
15	15.5	1.5084834718298
15.5	15.5	1.76190202175087
16	15.5	2.0398782456345
16.5	15.5	2.34260181384543
0.5	16	0
1	16	0
1.5	16	0
2	16	0
2.5	16	0
3	16	0
3.5	16	0
4	16	0
4.5	16	0
5	16	0
5.5	16	0
6	16	1.78959530946538E-03
6.5	16	2.69505637500599E-03
7	16	4.05864321729268E-03
7.5	16	6.11214849457063E-03
8	16	9.20464234464097E-03
8.5	16	1.38618099295229E-02
9	16	2.08753113187598E-02
9.5	16	3.14373537705939E-02
10	16	4.73433520107228E-02
10.5	16	7.12971262138413E-02
11	16	0.1073705175164
11.5	16	0.161695549932299
12	16	0.243506797514644
12.5	16	0.366711146105534
13	16	0.552251789480114
13.5	16	0.831668309575241
14	16	1.00508011781976
14.5	16	1.20077593730371
15	16	1.41951131727347
15.5	16	1.66186467679568
16	16	1.92823939902137
16.5	16	2.21886921671704
0.5	16.5	0
1	16.5	0
1.5	16.5	0
2	16.5	0
2.5	16.5	0
3	16.5	0
3.5	16.5	0
4	16.5	0
4.5	16.5	0
5	16.5	0
5.5	16.5	0
6	16.5	1.41565255709081E-03
6.5	16.5	2.12472763362244E-03
7	16.5	3.18896574902257E-03
7.5	16.5	4.78626172480335E-03
8	16.5	7.18361472064697E-03
8.5	16.5	0.010781759005629
9	16.5	1.61821494854602E-02
9.5	16.5	0.02428749908369
10	16.5	3.64526735011474E-02
10.5	16.5	5.47111664647924E-02
11	16.5	8.21150123829463E-02
11.5	16.5	0.123244955177305
12	16.5	0.184976151569217
12.5	16.5	0.277627401463477
13	16.5	0.416686007301437
13.5	16.5	0.625396584651082
14	16.5	0.938646561774982
14.5	16.5	1.12470475485679
15	16.5	1.33320364182667
15.5	16.5	1.56476329125332
16	16.5	1.81983125313443
16.5	16.5	2.09868695173729
